GeneID	GSM3518005	GSM3518006	GSM3518007	GSM3518008	GSM3518009	GSM3518010	GSM3518011	GSM3518012	GSM3518013
7429	0.3125	0.4635	0.4553	0.429	1.559	1.821	2.283	0.678	1.641
57695	1.412	1.909	1.981	1.902	6.082	7.78	9.798	3.004	6.254
9125	1.74	3.33	2.962	3.125	10.37	11.66	11.42	4.632	9.861
84812	0.2226	0.2132	0.2772	0.3577	1.426	1.456	1.335	0.6316	0.5239
7701	0.6841	0.7503	1.248	1.182	5.941	5.006	4.727	1.878	3.319
617	3.074	2.946	4.481	3.833	14.25	19.53	15.88	6.849	16.34
64320	2.009	3.502	2.89	2.968	8.88	11.23	10.86	5.593	9.905
27148	0.5019	0.9957	0.7967	0.9441	3.456	4.524	4.121	1.996	3.178
9654	0.4149	0.7672	0.724	0.6995	2.838	3.377	4.133	1.614	1.762
1593	2.015	2.108	2.789	1.736	7.962	13.75	13.7	8.541	7.367
107985986	0	0.1341	0.3022	0.2017	1.023	0.96	1.432	1.052	0.9181
53632	0.02465	0.07265	0.1965	0.153	0.4212	0.4369	0.7368	0.4352	0.2487
103504730	0	0	0	0.8937	1.813	0	0	0.8475	0
7475	0	0.04493	0.2025	0	0.2742	0.4503	0.05996	0.03205	0.2051
80326	0	0	0	0	0.05256	0.09865	0	0.02457	0.03931
107984111	0	0	0	0	0	0	0	0	0
105373882	0	0.07119	0	0	0	0	0	0	0
101928537	0	0	0	0	0	0.1096	0	0	0
8941	0	0	0	0.02333	0	0	0	0	0
151300	0	0	0.05594	0	0	0	0	0.0354	0
54738	0	0	0	0	0	0	0.07331	0	0
1412	0	0	0	0	0	0	0	0	0
494324	0	0	0	0	0	0	0	0	0
100129175	0	0	0	0	0	0	0	0	0
255101	0	0.007158	0	0.01615	0.01092	0.01025	0.009552	0	0
107985987	0	0	0	0	0	0	0	0	0
3549	0	0	0	0.02349	0	0	0	0.04455	0.03564
100422957	0	0	0	0	0	0	0	0	0
79840	1.465	1.249	2.276	1.409	4.987	5.522	5.734	2.855	5.448
151295	0.1117	0.2305	0.3339	0.2724	1.256	1.697	1.45	0.6105	0.7889
27013	4.618	3.387	5.828	4.754	26.95	24.47	19.25	10.09	23.12
79137	2.707	2.806	3.307	2.798	12.11	16.74	15.28	6.988	11.62
130617	3.462	3.556	3.744	2.543	11.74	13.35	12.91	6.777	12.44
10058	2.419	1.996	3.154	1.754	8.067	9.834	6.779	3.901	8.814
79065	7.318	5.757	8.635	6.148	40.79	36.49	26.6	11.47	29.15
55139	2.973	3.615	4.948	4.97	15.73	21.62	16.81	6.232	16.73
79411	0.3467	0.3321	0.8923	0.8068	2.26	2.487	2.181	1.02	1.312
8576	1.404	1.951	2.087	1.653	7.422	6.859	7.216	3.839	5.861
7277	9.281	18.29	23.19	11.35	54.76	51.61	53.37	19.07	42.26
80086	0.7548	1.279	1.567	0.7528	3.394	3.344	3.71	0.9915	2.411
3300	6.101	5.607	6.63	6.637	40.51	33.3	22.28	10.02	29.09
5798	0	0	0	0	0.06358	0.05967	0.08341	0	0.02378
406944	0	0	0	0	0	0	0	0	0
389075	0	0	0	0	0	0	0	0	0
107985835	0	0	0	0	0	0	0	0	0
105373883	0.1856	0.2188	0.2466	0.1646	0.6677	0	1.752	0.7803	0.2497
23549	4.242	4.786	4.931	3.505	21.25	21.43	16.92	8.572	17.48
105373884	0.0395	0.04656	0.2099	0	0.3552	0.1333	0.2485	0	0.2125
1674	2142	2385	3098	2022	1.048e+04	1.116e+04	6179	3278	8354
10290	2.804	1.744	2.755	2.938	26.37	15.53	11.42	5.387	12.08
105373885	0.0613	0.07226	0.6514	0.163	1.213	1.035	0.6749	0.1031	0.5771
100996693	0	0.1896	0	0.2138	2.024	0.9499	1.391	1.217	0.757
29926	3.412	3.686	4.72	2.709	14.38	14.15	11.91	6.065	11.81
55515	0	0.02529	0.0285	0.01902	0.1158	0.07242	0.03375	0.05411	0.05772
79586	8.616	4.399	7.726	7.866	52.73	41.98	32.47	25.8	27.1
130612	0.3581	0.1809	0.06795	0.2948	1.84	1.424	0.7644	0.7311	0.5848
100423039	0	0	0	0	6.285	1.475	0	0	0
23363	7.992	6.036	6.912	7.438	54.95	37.27	28.52	11.06	35.91
3623	1.019	0.1143	0.5154	0.301	2.704	1.392	1.602	0.3262	0.8481
114790	0.6042	0.5555	0.8186	0.5034	3.477	3.977	3.117	1.768	2.665
6508	37.3	36.36	49.07	34.02	218.3	140.7	122.7	46.41	104
105373886	0	0	0	0	0	0	0	0.09908	0
105373887	0	0	0	0.107	0.6511	0.2037	0.1898	0	0
105373888	0.5535	0.261	2.352	1.962	1.991	6.165	1.741	0.8375	4.317
105373889	0	0	0.568	0.09476	0	0.9021	0	0	0.1438
105373890	0.1618	0.1907	1.289	0.5737	0.8729	3.823	0.7635	0.272	3.264
100422959	0	0	0	1.815	0	0	0	0	2.754
105373891	0.2309	0.2177	0.368	0.4094	0.3322	1.559	0.2179	0.427	0.8696
105373893	0.3704	0.2911	0.615	0.3557	0.4996	1.302	0.7768	0.2335	1.079
105373894	0	0.1008	0.1136	0.1517	0.1538	0.2888	0.2691	0.1438	0.3452
105373895	0.5776	0.227	1.023	0.3414	0.1154	1.841	0.2019	0.4316	0.4316
105373896	0.7028	0.729	0.4854	0.8224	1.163	2.325	3.272	0.449	1.21
